一级表计编码,二级表计编码,三级表计编码,四级表计编码,水表号,水表名,用户号,用户名,口径
416X,,,,3620300500.0,校医院南+,30089.0,校医院南,100.0
,41601X,,,3290100100.0,XXX校医院,30023.0,XXX校医院,50.0
,,4160101T,,3620303100.0,车队+,30094.0,车队,15.0
405X,,,,3620300100.0,XXX花圃+,30090.0,XXX花圃,150.0
,40511X,,,3210100200.0,XXX成教院XXX分院,30022.0,XXX成教院XXX分院,50.0
,,4051101T,,3421200300.0,XXX田径场厕所,30045.0,XXX田径场厕所,50.0
,40509T,,,3363000100.0,离退休活动室,30043.0,XXX离退休活动室,40.0
,40508T,,,3313800500.0,XXXL馆,30041.0,XXXL馆,50.0
,40507T,,,3370100100.0,XXXL楼,30027.0,XXXL楼,80.0
,40506T,,,3313200200.0,XXXS馆,30024.0,XXXS馆,80.0
,40504T,,,3370300100.0,XXXK,30012.0,XXXK,50.0
,40503T,,,3370200100.0,XXXK酒店,30011.0,XXXK酒店,80.0
,40502T,,,3030100100.0,XXX体育馆,30002.0,XXX体育馆,80.0
,40501T,,,3210100100.0,XXX干训楼,30001.0,XXX干训楼,80.0
404X,无记录,,,,,,,
,40405T,,,3320100600.0,XXX第八学生宿舍,30025.0,XXX第八学生宿舍,50.0
,,4040501T,,183671860.0,XXX8舍热泵,30062.0,XXX8舍热泵,80.0
,40404T,,,3320100700.0,XXX第七学生宿舍,30026.0,XXX第七学生宿舍,50.0
,40403T,,,3200200100.0,XXXK楼,30039.0,XXXK楼,50.0
,40402T,,,3390100400.0,XXX第五食堂,30044.0,XXX第五食堂,40.0
,40401T,,,3180700100.0,XXX污水处理,30047.0,XXX污水处理,40.0
403X,,,,3620300300.0,64397副表,30095.0,东大门大棚（副表）,200.0
,40338T,,,3160200300.0,XXX第一食堂,30019.0,XXX第一食堂,50.0
,40337X,,,3620301400.0,区域4+,30088.0,区域4,150.0
,,4033726T,,3320100200.0,XXX第二学生宿舍,30006.0,XXX第二学生宿舍,50.0
,,4033725T,,3480100100.0,XXX老医务室楼,30037.0,XXX老医务室楼,40.0
,,4033723T,,3620301700.0,教育超市+,30071.0,教育超市,20.0
,,4033720T,,3320100100.0,XXX第一学生宿舍,30005.0,XXX第一学生宿舍,100.0
,40336T,,,3620302100.0,东大门大棚+,30067.0,东大门大棚,40.0
,40335X,,,3620300400.0,区域3+,30087.0,区域3,150.0
,,4033506T,,3480400100.0,老七楼,30054.0,老七楼,50.0
,,4033503T,,3320100500.0,XXX第五学生宿舍,30009.0,XXX第五学生宿舍,80.0
,,,403350301T,1836718629.0,XXX5舍热泵热水,30061.0,XXX5舍热泵热水,50.0
,,4033502T,,3320100400.0,XXX第四学生宿舍,30008.0,XXX第四学生宿舍,80.0
,,,403350202T,3620301500.0,茶园+,30065.0,茶园,40.0
,,,403350201T,1836718625.0,XXX4舍热泵热水,30060.0,XXX4舍热泵热水,80.0
,,4033501T,,3320100300.0,XXX第三学生宿舍,30007.0,XXX第三学生宿舍,80.0
,,,403350101T,1836718633.0,XXX3舍热泵热水,30059.0,XXX3舍热泵热水,50.0
,40334T,,,3620302400.0,危险品仓库+,30069.0,危险品仓库,20.0
,40333T,,,3620302300.0,纳米楼厕所+,30068.0,纳米楼厕所,40.0
,40331T,,,3620301900.0,理发店+,30073.0,理发店,20.0
,40325T,,,3390100500.0,XXX第二食堂,30013.0,XXX第二食堂,100.0
,40321T,,,3520300100.0,东大门温室,30031.0,东大门温室,40.0
,40318T,,,3360300100.0,新留学生楼,30042.0,新留学生楼,40.0
,40316T,,,3390100200.0,XXX航空航天,30048.0,航空航天,100.0
,40315T,,,3390100300.0,XXX锅炉房,30049.0,XXX锅炉房,50.0
,40313T,,,3421400100.0,浴室,30052.0,XXX食堂宿舍,50.0
402X,无记录,,,,,,,
,40219T,,,3620301800.0,老医务楼2.3楼+,30070.0,老医务楼2.3楼,25.0
,40218T,,,3480300100.0,XXX老六楼,30053.0,XXX老六楼,50.0
,40217T,,,3480200100.0,XXX老五楼,30051.0,XXX老五楼,50.0
,40215T,,,3320100900.0,留学生楼（新）,30030.0,留学生楼（新）,80.0
,40214T,,,3450200100.0,XXX游泳池,30029.0,XXX游泳池,80.0
,40213T,,,3320100800.0,XXX第九学生宿舍,30010.0,XXX第九学生宿舍,80.0
401X,,,,3620300200.0,养殖队6721副表+,30081.0,养殖队6721副表,100.0
,40136T,,,0.0,司法鉴定中心,30058.0,司法鉴定中心,50.0
,40135X,,,3315400100.0,XXX国际纳米研究所	,30035.0,XXX国际纳米研究所,50.0
,,4013502T,,3620302700.0,纳米楼4.5楼+,30075.0,纳米楼4.5楼,40.0
,,4013501T,,3620302600.0,纳米楼3楼+,30074.0,纳米楼3楼,40.0
,40134X,,,3000000001.0,区域2,30056.0,区域2,150.0
,,4013407X,,3290100300.0,XXXT馆后平房,30040.0,XXXT馆后平房,40.0
,,4013406T,,3422000100.0,XXX后勤楼,30046.0,XXX后勤楼,40.0
,,4013404T,,3620302500.0,校管中心种子楼东+,30076.0,校管中心种子楼东,20.0
,,4013403T,,3280100100.0,XXX图书馆,30017.0,XXX图书馆,80.0
,,4013402T,,3161100100.0,XXX毒物研究所,30020.0,XXX毒物研究所,50.0
,,4013401T,,3160100100.0,XXX种子楼,30018.0,XXX种子楼,50.0
,40133X,,,3000000000.0,区域1（西）,30055.0,区域1（西）,150.0
,,4013308T,,3421300300.0,XXX大楼厕所西,30034.0,XXX大楼厕所西,50.0
,,4013307T,,3421900100.0,XXX科学楼,30050.0,XXX科学楼,50.0
,,4013305T,,3421300200.0,XXX大楼厕所东,30033.0,XXX大楼厕所东,50.0
,,4013304T,,3170200100.0,XXX中心水池,30021.0,XXX中心水池,50.0
,,4013303T,,3170100600.0,XXX西大楼,30003.0,XXX西大楼,80.0
,40126T,,,3620302000.0,书店+,30072.0,书店,20.0
,40124T,,,3620301200.0,新大门传达室+,30086.0,新大门传达室,20.0
,40123T,,,3620301000.0,养殖馆附房保卫处宿舍+,30082.0,养殖馆附房保卫处宿舍,20.0
,40122T,,,3620300900.0,养殖馆公共厕所+,30083.0,养殖馆公共厕所,15.0
,40121T,,,3620300800.0,养殖馆附房二楼厕所+,30085.0,养殖馆附房二楼厕所,15.0
,40120T,,,3620300700.0,养殖馆附房一楼厕所+,30084.0,养殖馆附房一楼厕所,25.0
,40119T,,,3620300600.0,养殖馆+,30080.0,养殖馆,25.0
,40118T,,,3620301100.0,养殖队+,30079.0,养殖队,20.0
,40117T,,,3400500100.0,XXX教学大楼总表,30014.0,XXX教学大楼总表,80.0
,40116T,,,3421300100.0,XXX中心大楼泵房,30015.0,XXX中心大楼泵房,50.0
,40115T,,,3422200100.0,XXX东大楼,30016.0,XXX东大楼,80.0
,40106T,,,3315400200.0,XXXM馆,30036.0,XXXM馆,50.0
,40105T,,,3160300300.0,XXX植物园,30038.0,XXX植物园,50.0
,,4010401T,,3620301300.0,高配房+,30078.0,高配房,20.0
419T,,,,3620303000.0,养鱼组临工宿舍+,30093.0,养鱼组临工宿舍,15.0
418T,,,,3620302900.0,养鱼组厕所+,30092.0,养鱼组厕所,15.0
417T,,,,3620302800.0,农业试验站大棚+,30091.0,农业试验站大棚,15.0
413T,,,,3030100102.0,物业,30097.0,物业,15.0
412X,,,,3030100101.0,体育馆网球场值班室,30096.0,体育馆网球场值班室,15.0
411T,,,,3312800100.0,XXXS宾馆,30004.0,XXXS宾馆,80.0
406T,,,,3620302200.0,东大门传达室+,30066.0,东大门传达室,20.0
